thm	GaussianField.massOperator_product_eigenvector_asym	Lattice.AsymCovariance	GaussianField.latticeEigenvalue1d GaussianField.AsymLatticeSites GaussianField.latticeFourierBasisFun GaussianField.finiteLaplacianAsym GaussianField.AsymLatticeField GaussianField.dft_1d_eigenvalue_pointwise GaussianField.massOperatorAsym
def	Pphi2.EuclideanTimeStructure.timeTranslateOnRealTestFunctions	Pphi2.Backgrounds.EuclideanTime	Pphi2.EuclideanPlaneBackground.SpaceTime Pphi2.EuclideanTimeStructure.timeTranslation Pphi2.EuclideanPlaneBackground.RealTestFunction Pphi2.EuclideanPlaneBackground.translate Pphi2.EuclideanPlaneBackground.dim Pphi2.EuclideanPlaneBackground Pphi2.EuclideanTimeStructure
thm	GaussianField.massOperator_product_eigenvector_family	Lattice.LatticeFourierProduct	GaussianField.latticeEigenvalue1d GaussianField.latticeFourierBasisFun GaussianField.FinLatticeSites GaussianField.massOperator GaussianField.dft_1d_eigenvalue_pointwise GaussianField.latticeFourierProductBasisFun GaussianField.finiteLaplacian GaussianField.FinLatticeField
thm	Pphi2.transferOperator_isSelfAdjoint	Pphi2.TransferMatrix.L2Operator	Pphi2.L2SpatialField Pphi2.SpatialField Pphi2.transferWeight Pphi2.transferGaussian_memLp Pphi2.transferWeight_measurable Pphi2.transferOperatorCLM Pphi2.transferGaussian Pphi2.transferGaussian_neg Pphi2.transferWeight_bound
thm	Pphi2.prokhorov_sequential	Pphi2.ContinuumLimit.Convergence
thm	Pphi2.wickPower_two_site_pi_gaussianReal_eq_diag	Pphi2.NelsonEstimate.FieldDecomposition	Pphi2.wickMonomial GaussianField.multiWickMonomial_pi_gaussianReal_inner
thm	GaussianField.massOperatorMatrix_eigenvalues_pos	Lattice.SpectralCovariance	GaussianField.massOperatorMatrix_isHermitian GaussianField.massOperatorMatrix GaussianField.FinLatticeSites GaussianField.massOperator GaussianField.massMatrixHerm GaussianField.massOperator_eq_matrix_mulVec GaussianField.massEigenvalues GaussianField.massOperator_pos_def GaussianField.FinLatticeField
thm	Pphi2.wickPower_two_site_pi_gaussianReal_eq_zero_of_ne	Pphi2.NelsonEstimate.FieldDecomposition	Pphi2.wickMonomial GaussianField.multiWickMonomial_pi_gaussianReal_inner
def	Pphi2.canonicalSmoothGamma	Pphi2.NelsonEstimate.FieldDecomposition	GaussianField.FinLatticeSites
thm	Pphi2.asymEvalMapInv.congr_simp	Pphi2.NelsonEstimate.AsymFieldDecomposition	GaussianField.AsymLatticeSites GaussianField.Configuration GaussianField.AsymLatticeField Pphi2.asymEvalMapInv
thm	Pphi2.spatialKinetic.congr_simp	Pphi2.TransferMatrix.L2Operator	Pphi2.SpatialField Pphi2.spatialKinetic
def	Pphi2.pphi2MeasureModel	Pphi2.FormulationAdapter	Pphi2.EuclideanPlaneBackground.SpaceTime Pphi2.FieldConfig2 Pphi2.generatingFunctional Pphi2.EuclideanPlaneBackground.RealTestFunction Pphi2.planeBackground Pphi2.distribPairing Common.QFT.Euclidean.MeasureModel Pphi2.EuclideanPlaneBackground.dim Pphi2.pphi2Formulation GaussianField.instMeasurableSpaceConfiguration Pphi2.generatingFunctionalℂ
thm	GaussianField.schwartzTranslation_zero	Cylinder.Symmetry	GaussianField.schwartzTranslation
thm	Pphi2.asymField_basis_decomposition	Pphi2.NelsonEstimate.AsymFieldDecomposition	GaussianField.AsymLatticeSites GaussianField.AsymLatticeField GaussianField.instFintypeAsymLatticeSitesOfNeZeroNat GaussianField.asymLatticeDelta
thm	GaussianHilbert.ouGenerator1D_hermiteEval	GaussianHilbert.OUEigenfunctions	GaussianHilbert.hermiteEval GaussianHilbert.ouGenerator1D
def	Common.QFT.Euclidean.Formulation.ctorIdx	Common.QFT.Euclidean.Formulations	Common.QFT.Euclidean.Formulation
thm	Pphi2.boltzmannWeightAsym_eq_comp_evalMapAsym	Pphi2.AsymTorus.AsymMeasureFactorization	GaussianField.AsymLatticeSites Pphi2.wickConstantAsym Pphi2.boltzmannWeightAsym GaussianField.Configuration GaussianField.AsymLatticeField GaussianField.evalMapAsym GaussianField.instFintypeAsymLatticeSitesOfNeZeroNat Pphi2.wickPolynomial
thm	GaussianHilbert.ouScale_sq	GaussianHilbert.OUEigenfunctions	GaussianHilbert.ouScale
thm	GaussianHilbert.ouSemigroupAct_eLpNorm_hypercontractive	GaussianHilbert.HypercontractivityFromBE	GaussianHilbert.stdGaussianFin_dirichletMarkovSemigroup_isHypercontractive GaussianHilbert.stdGaussianFin GaussianHilbert.ouSemigroupAct
def	GaussianField.massOperatorEntryAsym	Lattice.AsymCovariance	GaussianField.AsymLatticeSites GaussianField.AsymLatticeField GaussianField.massOperatorAsym GaussianField.asymLatticeDelta
thm	Pphi2.asymCanonicalRoughError_neg_tail_uniform	Pphi2.NelsonEstimate.AsymRoughErrorChaosStd	Pphi2.asymCanonicalRoughErrorStd_eq Pphi2.asymCanonicalRoughErrorStd Pphi2.asymCanonicalRoughError_neg_tail_of_stdGaussian_explicit_ae Pphi2.AsymCanonicalJointSumIndex Pphi2.AsymCanonicalJoint Pphi2.asymCanonicalRoughError GaussianHilbert.stdGaussianFin Pphi2.asymCanonicalJointStdGaussianMeasurableEquiv GaussianHilbert.wienerChaosLE Pphi2.asymRoughError_variance Pphi2.asymCanonicalJointMeasure_map_stdGaussian Pphi2.ChaosTailBridge.chaosTailConstant Pphi2.asymCanonicalJointMeasure Lattice.toSemilatticeInf Pphi2.asymCanonicalRoughErrorStd_mem_wienerChaosLE Pphi2.AsymCanonicalMode
thm	GaussianField.latticeSingularValue_nonneg	Lattice.Covariance	GaussianField.latticeSingularValue GaussianField.latticeEigenvalue_pos GaussianField.latticeEigenvalue
thm	GaussianField.NuclearTensorProduct.toPairIndex_fromPairIndex	Nuclear.NuclearTensorProduct	GaussianField.NuclearTensorProduct.toPairIndex GaussianField.NuclearTensorProduct.fromPairIndex
thm	Pphi2.clustering_implies_ergodicity	Pphi2.OSProofs.OS4_Ergodicity	Lattice.toSemilatticeInf
struct	Common.QFT.Euclidean.PairingMeasureModel	Common.QFT.Euclidean.Formulations	Common.QFT.Euclidean.Formulation
def	Common.QFT.Euclidean.GeneratingFunctionalModel.complexGeneratingFunctional	Common.QFT.Euclidean.Formulations	Common.QFT.Euclidean.GeneratingFunctionalModel Common.QFT.Euclidean.Formulation Common.QFT.Euclidean.Formulation.ComplexTestFunction
thm	GaussianField.greenFunctionBilinear_add_right	HeatKernel.Bilinear	GaussianField.DyninMityaginSpace GaussianField.HasLaplacianEigenvalues GaussianField.greenFunctionBilinear_add_left GaussianField.greenFunctionBilinear GaussianField.greenFunctionBilinear_symm
thm	GaussianField.abstract_spectral_eq_dft_spectral_2d	Lattice.CirculantDFT2d	GaussianField.latticeEigenvalue1d GaussianField.latticeFourierBasisFun GaussianField.lattice_covariance_eq_spectral GaussianField.covariance GaussianField.latticeCovariance GaussianField.FinLatticeSites GaussianField.massEigenbasis_sum_mul_sum_eq_site_inner GaussianField.massOperator GaussianField.latticeEigenvalue1d_nonneg GaussianField.latticeFourierNormSq GaussianField.dft_parseval_2d GaussianField.massEigenvalues GaussianField.massEigenvectorBasis GaussianField.dft_eigencoeff_massOperator_2d GaussianField.massOperator_surjective_2d GaussianField.massOperatorMatrix_eigenvalues_pos GaussianField.ell2' GaussianField.FinLatticeField GaussianField.massOperator_eigenCoeff_eq_eigenvalues_mul_eigenCoeff
def	GaussianField.gffPositionCovariance	GaussianField.WickMultivariate	GaussianField.FinLatticeSites
thm	Pphi2.measurePreserving_asymSliceEquiv	Pphi2.AsymTorus.AsymMeasureFactorization	Pphi2.measurePreserving_sliceReindex GaussianField.AsymLatticeSites Pphi2.asymSliceMeasurableEquiv Pphi2.sliceReindexMeasurableEquiv Pphi2.SpatialField Pphi2.asymSliceEquiv Pphi2.measurePreserving_curry GaussianField.AsymLatticeField GaussianField.instFintypeAsymLatticeSitesOfNeZeroNat Pphi2.asymSliceMeasurableEquiv_coe
thm	Pphi2.schwartzOfReal_real_smul	Pphi2.EuclideanComplex	Pphi2.EuclideanPlaneBackground.SpaceTime Pphi2.EuclideanPlaneBackground.RealTestFunction Pphi2.schwartzOfReal Pphi2.EuclideanPlaneBackground.dim Pphi2.EuclideanPlaneBackground Pphi2.EuclideanPlaneBackground.ComplexTestFunction
thm	Pphi2.canonicalRoughError_cutoff_tail_quartic_uniform	Pphi2.NelsonEstimate.PolynomialChaosBridge	Pphi2.canonicalJointMeasure Pphi2.DynamicalCutoff.dynamicalCutoffScale_pos Pphi2.canonicalRoughError_neg_tail_uniform_in_aN Pphi2.DynamicalCutoff.dynamicalCutoffScale Pphi2.ChaosTailBridge.chaosTailConstant Pphi2.canonicalRoughError Pphi2.CanonicalJoint
thm	GaussianField.sum_sin_zmod_eq_zero	Lattice.CirculantDFT	GaussianField.sin_zmod_succ GaussianField.sum_cos_zmod_eq_zero Lattice.toSemilatticeInf
thm	Pphi2.os1_for_continuum_limit	Pphi2.ContinuumLimit.AxiomInheritance	Pphi2.EuclideanPlaneBackground.SpaceTime Pphi2.FieldConfig2 Pphi2.EuclideanPlaneBackground.RealTestFunction Pphi2.planeBackground Pphi2.EuclideanPlaneBackground.dim Pphi2.IsPphi2Limit Pphi2.SpaceTime2 Pphi2.exponential_moment_schwartz_bound Pphi2.EuclideanOS.schwartzIm Pphi2.EuclideanOS.schwartzRe Pphi2.TestFunction2ℂ Pphi2.plane2Background GaussianField.Configuration Pphi2.continuum_exponential_moments Pphi2.EuclideanOS.generatingFunctionalℂ GaussianField.instMeasurableSpaceConfiguration Pphi2.TestFunction2 Pphi2.EuclideanOS.OS1_Regularity Pphi2.EuclideanPlaneBackground.ComplexTestFunction Lattice.toSemilatticeInf Pphi2.EuclideanPlaneBackground.Distribution
